Suburb,Rooms,Price,Date,Bedroom2,Bathroom,BuildingArea,YearBuilt,Regionname
Clifton Hill,2,1435000,10/9/2016,2,1,96,1900,Northern Metropolitan
Clifton Hill,2,1417000,10/12/2016,2,1,,,Northern Metropolitan
Clifton Hill,2,1290000,10/12/2016,2,1,99,1890,Northern Metropolitan
Clifton Hill,3,1226000,12/11/2016,3,2,,,Northern Metropolitan
Clifton Hill,2,495000,13/08/2016,2,1,50,1970,Northern Metropolitan
Clifton Hill,1,325000,13/08/2016,1,1,,,Northern Metropolitan
Clifton Hill,3,1370000,13/08/2016,3,2,135,1890,Northern Metropolitan
Clifton Hill,2,1620000,15/10/2016,2,1,,,Northern Metropolitan
Clifton Hill,3,1180000,16/07/2016,3,3,,1995,Northern Metropolitan
Clifton Hill,2,1405000,17/09/2016,2,1,,,Northern Metropolitan
Clifton Hill,2,880000,18/03/2017,2,1,,,Northern Metropolitan
Clifton Hill,2,1450000,18/03/2017,2,1,107,1890,Northern Metropolitan
Clifton Hill,2,856000,18/03/2017,2,1,,,Northern Metropolitan
Clifton Hill,2,885500,18/06/2016,2,2,136,2005,Northern Metropolitan
Clifton Hill,3,1680000,19/11/2016,3,2,,,Northern Metropolitan
Clifton Hill,2,730000,22/05/2016,2,1,,,Northern Metropolitan
Clifton Hill,3,825000,24/09/2016,3,3,119,2010,Northern Metropolitan
Clifton Hill,2,533000,24/09/2016,2,1,,1970,Northern Metropolitan
Clifton Hill,2,1430000,25/02/2017,2,1,,1910,Northern Metropolitan
Clifton Hill,4,1506000,25/02/2017,4,2,169,1995,Northern Metropolitan
Clifton Hill,3,1150000,26/07/2016,3,1,,,Northern Metropolitan
Clifton Hill,3,1360000,27/06/2016,3,1,118,1880,Northern Metropolitan
Clifton Hill,2,640000,28/08/2016,2,1,,,Northern Metropolitan
Coburg,2,850000,3/9/2016,2,1,93,1930,Northern Metropolitan
Coburg,3,784000,3/9/2016,2,1,110,1890,Northern Metropolitan
Coburg,3,680000,3/12/2016,3,1,108,1950,Northern Metropolitan
Coburg,4,1221000,3/12/2016,4,1,,,Northern Metropolitan
Coburg,2,807000,3/12/2016,2,2,176,2010,Northern Metropolitan
Coburg,3,790000,3/12/2016,3,1,,,Northern Metropolitan
Coburg,4,955000,3/12/2016,4,2,,,Northern Metropolitan
Coburg,3,675000,4/2/2016,3,1,123,2005,Northern Metropolitan
Coburg,3,1010000,4/3/2017,3,2,278,,Northern Metropolitan
Coburg,3,1202000,4/3/2017,3,2,140,1940,Northern Metropolitan
Coburg,3,1370000,4/3/2017,3,1,180,1890,Northern Metropolitan
Coburg,2,550000,4/3/2017,2,1,,,Northern Metropolitan
Coburg,3,1000000,4/3/2017,3,2,110,1920,Northern Metropolitan
Coburg,3,935500,4/3/2017,3,1,,,Northern Metropolitan
Coburg,8,2250000,4/3/2017,4,2,,,Northern Metropolitan
Coburg,4,145000,4/6/2016,3,1,164,1910,Northern Metropolitan
Coburg,4,905000,4/6/2016,3,2,,,Northern Metropolitan
Coburg,3,860000,4/6/2016,3,1,109,1915,Northern Metropolitan
Coburg,2,953000,6/8/2016,2,1,101,1890,Northern Metropolitan
Coburg,2,735000,6/8/2016,2,1,93,1900,Northern Metropolitan
Coburg,3,550000,7/5/2016,3,2,168,,Northern Metropolitan
Coburg,3,1100000,7/5/2016,3,1,,,Northern Metropolitan
Coburg,3,947000,7/11/2016,3,1,125,1920,Northern Metropolitan
Coburg,2,500000,7/11/2016,2,1,74,1970,Northern Metropolitan
Coburg,3,865000,7/11/2016,3,2,,2008,Northern Metropolitan
Coburg,2,466000,8/10/2016,2,1,62,1980,Northern Metropolitan
Coburg,3,740000,8/10/2016,3,2,164,2014,Northern Metropolitan
Coburg,3,812000,8/10/2016,3,1,130,1930,Northern Metropolitan
Coburg,3,766000,8/10/2016,3,1,124,1930,Northern Metropolitan
Coburg,3,825000,8/10/2016,2,1,118,1910,Northern Metropolitan
Coburg,4,1131000,8/10/2016,4,2,300,2001,Northern Metropolitan
Coburg,3,1064000,8/10/2016,3,2,178,1940,Northern Metropolitan
Coburg,2,610000,8/10/2016,2,2,,,Northern Metropolitan
Coburg,3,1210000,10/9/2016,3,1,125,1925,Northern Metropolitan
Coburg,2,434000,10/9/2016,2,1,80,1965,Northern Metropolitan
Coburg,2,653000,10/9/2016,2,1,107,2012,Northern Metropolitan
Coburg,3,640000,10/12/2016,3,1,109,1995,Northern Metropolitan
Coburg,2,820000,10/12/2016,2,1,,1960,Northern Metropolitan
Coburg,4,1250000,10/12/2016,4,1,,,Northern Metropolitan
Coburg,5,1335000,10/12/2016,5,3,,,Northern Metropolitan
Coburg,6,1900000,10/12/2016,6,2,,,Northern Metropolitan
Coburg,3,1090000,12/11/2016,3,1,,,Northern Metropolitan
Coburg,3,1130000,12/11/2016,3,1,127,1920,Northern Metropolitan
Coburg,4,1145000,12/11/2016,4,2,,,Northern Metropolitan
Coburg,2,657000,13/08/2016,2,1,,,Northern Metropolitan
Coburg,3,763000,14/05/2016,3,2,110,1994,Northern Metropolitan
Coburg,2,903000,15/10/2016,2,1,94,1910,Northern Metropolitan
Coburg,3,1000000,15/10/2016,3,1,117,1970,Northern Metropolitan
Coburg,4,1742000,15/10/2016,3,2,256,2006,Northern Metropolitan
Coburg,4,865000,16/04/2016,4,1,125,1925,Northern Metropolitan
Coburg,2,485000,16/04/2016,2,2,96,1880,Northern Metropolitan
Coburg,3,1278000,16/07/2016,3,2,156,1930,Northern Metropolitan
Coburg,3,590000,17/09/2016,3,2,109,2013,Northern Metropolitan
Coburg,4,1000000,17/09/2016,4,2,,1938,Northern Metropolitan
Coburg,3,590000,17/09/2016,3,2,168,,Northern Metropolitan
Coburg,3,1030000,17/09/2016,3,1,,,Northern Metropolitan
Coburg,4,1136000,18/03/2017,4,3,146,1920,Northern Metropolitan
Coburg,2,635000,18/03/2017,2,1,95,2014,Northern Metropolitan
Coburg,3,1061000,18/03/2017,3,1,,,Northern Metropolitan
Coburg,4,1155000,18/03/2017,4,1,,,Northern Metropolitan
Coburg,4,650000,18/06/2016,3,2,,,Northern Metropolitan
Coburg,3,1286000,18/06/2016,3,2,,,Northern Metropolitan
Coburg,3,885000,18/06/2016,3,1,,1920,Northern Metropolitan
Coburg,4,1160000,18/06/2016,4,2,,1888,Northern Metropolitan
Coburg,4,1400000,18/06/2016,4,1,189,1970,Northern Metropolitan
Coburg,2,470000,18/06/2016,2,2,,,Northern Metropolitan
Coburg,3,1260000,19/11/2016,3,2,230,1930,Northern Metropolitan
Coburg,2,920000,19/11/2016,2,1,,,Northern Metropolitan
Coburg,3,841000,19/11/2016,3,1,98,1920,Northern Metropolitan
Coburg,2,537500,19/11/2016,2,1,73,1975,Northern Metropolitan
Coburg,2,1130000,22/08/2016,2,1,,,Northern Metropolitan
Coburg,2,598000,22/08/2016,2,1,100,2007,Northern Metropolitan
Coburg,3,1120000,22/08/2016,3,2,180,2006,Northern Metropolitan
Coburg,3,870000,22/08/2016,3,1,100,1980,Northern Metropolitan
Coburg,3,680000,23/04/2016,2,1,72,1920,Northern Metropolitan
Coburg,1,482500,23/04/2016,1,1,,,Northern Metropolitan
Coburg,3,825000,23/04/2016,3,1,131,1920,Northern Metropolitan
Coburg,3,725000,23/04/2016,3,1,131,1900,Northern Metropolitan
Coburg,4,1250000,23/04/2016,4,3,249,1900,Northern Metropolitan
Coburg,2,1008000,24/09/2016,2,1,89,1940,Northern Metropolitan
Coburg,2,599000,24/09/2016,2,2,,,Northern Metropolitan
Coburg,2,860000,24/09/2016,2,1,,,Northern Metropolitan
Coburg,4,990000,24/09/2016,4,1,142,1930,Northern Metropolitan
Coburg,2,451000,24/09/2016,2,1,72,1970,Northern Metropolitan
Coburg,2,635000,25/02/2017,2,2,149,1920,Northern Metropolitan
Coburg,5,1020000,25/02/2017,5,2,286,1985,Northern Metropolitan
Coburg,3,967000,25/02/2017,3,1,,,Northern Metropolitan
Coburg,3,1025000,25/02/2017,3,1,112,1950,Northern Metropolitan
Coburg,3,700000,25/02/2017,3,1,102,2000,Northern Metropolitan
Coburg,3,1130000,25/02/2017,3,1,80,1945,Northern Metropolitan
Coburg,3,835000,25/02/2017,3,1,,,Northern Metropolitan
Coburg,4,1075000,25/02/2017,4,1,187,1925,Northern Metropolitan
Coburg,3,845000,25/02/2017,3,1,,1980,Northern Metropolitan
Coburg,3,600000,25/02/2017,3,1,95,1976,Northern Metropolitan
Coburg,4,1461000,25/02/2017,4,2,,,Northern Metropolitan
Coburg,4,1150000,26/07/2016,4,2,205,1930,Northern Metropolitan
Coburg,2,515000,27/06/2016,2,1,70,1970,Northern Metropolitan
Coburg,3,770000,27/06/2016,4,1,,1970,Northern Metropolitan
Coburg,2,472000,27/06/2016,2,1,69,1975,Northern Metropolitan
Coburg,2,901000,27/06/2016,2,1,107,1940,Northern Metropolitan
Coburg,2,642000,27/06/2016,2,1,,,Northern Metropolitan
Coburg,2,605000,27/06/2016,2,1,13,1969,Northern Metropolitan
Coburg,3,687000,27/11/2016,3,1,140,1995,Northern Metropolitan
Coburg,4,975000,27/11/2016,4,2,203,1996,Northern Metropolitan
Coburg,3,985000,27/11/2016,3,1,,1880,Northern Metropolitan
Coburg,3,835000,27/11/2016,3,1,,,Northern Metropolitan
Coburg,3,951000,27/11/2016,3,2,,,Northern Metropolitan
Coburg,3,1370000,28/05/2016,3,1,130,1930,Northern Metropolitan
Coburg,2,700000,28/05/2016,2,1,92,1925,Northern Metropolitan
Coburg,3,810000,28/05/2016,3,2,131,2010,Northern Metropolitan
Coburg,2,445000,28/05/2016,2,1,,2007,Northern Metropolitan
Coburg,4,838000,28/05/2016,4,1,147,1960,Northern Metropolitan
Coburg,2,810000,28/05/2016,2,1,,,Northern Metropolitan
Coburg,4,1150000,28/05/2016,4,1,164,1990,Northern Metropolitan
Coburg,4,931000,28/05/2016,3,1,160,1920,Northern Metropolitan
Coburg,1,241000,28/08/2016,1,1,62,1976,Northern Metropolitan
Coburg,4,1331000,28/08/2016,3,2,,,Northern Metropolitan
Coburg,1,1007000,28/08/2016,1,2,1,,Northern Metropolitan
Coburg,2,981000,28/08/2016,2,1,114,1910,Northern Metropolitan
Coburg,2,570000,28/08/2016,2,1,86,1900,Northern Metropolitan
Coburg,2,500000,28/08/2016,2,1,70,1970,Northern Metropolitan
Coburg,3,830000,30/07/2016,3,2,,,Northern Metropolitan
Coburg,3,1194500,30/07/2016,2,1,,,Northern Metropolitan
Coburg,2,425000,30/07/2016,2,2,,,Northern Metropolitan
Coburg,2,645000,30/07/2016,2,1,,,Northern Metropolitan
Coburg North,4,895000,3/12/2016,4,2,,,Northern Metropolitan
Coburg North,3,655000,3/12/2016,3,1,98,1950,Northern Metropolitan
Coburg North,3,631000,4/3/2017,3,1,120,2012,Northern Metropolitan
Coburg North,2,600000,4/3/2017,2,1,105,2010,Northern Metropolitan
Coburg North,4,820000,4/3/2017,4,1,,,Northern Metropolitan
Coburg North,3,715000,4/3/2017,3,2,120,2010,Northern Metropolitan
Coburg North,3,735000,4/3/2017,3,1,,,Northern Metropolitan
Coburg North,3,864000,4/6/2016,3,1,115,1950,Northern Metropolitan
Coburg North,3,700000,7/5/2016,3,1,108,1950,Northern Metropolitan
Coburg North,4,735000,7/11/2016,4,2,,,Northern Metropolitan
Coburg North,2,591000,7/11/2016,2,1,86,2008,Northern Metropolitan
Coburg North,3,860000,8/10/2016,2,1,145,1950,Northern Metropolitan
Coburg North,2,765000,8/10/2016,2,1,116,1925,Northern Metropolitan
Coburg North,3,625000,10/9/2016,3,1,138,2014,Northern Metropolitan
Coburg North,2,745000,10/12/2016,2,1,90,1940,Northern Metropolitan
Coburg North,4,1050000,10/12/2016,4,3,258,2016,Northern Metropolitan
Coburg North,3,782000,11/3/2017,3,1,,,Northern Metropolitan
Coburg North,2,935000,12/11/2016,2,1,107,1960,Northern Metropolitan
Coburg North,4,1009000,12/11/2016,4,1,,1950,Northern Metropolitan
Coburg North,2,820000,12/11/2016,2,1,120,1960,Northern Metropolitan
Coburg North,3,780000,12/11/2016,3,1,96,1950,Northern Metropolitan
Coburg North,3,707000,13/08/2016,3,2,129,1950,Northern Metropolitan
Coburg North,3,772000,15/10/2016,3,1,,,Northern Metropolitan
Coburg North,3,745000,18/03/2017,3,1,,,Northern Metropolitan
Coburg North,2,532500,18/03/2017,2,1,,1970,Northern Metropolitan
Coburg North,3,750000,18/03/2017,3,2,,,Northern Metropolitan
Coburg North,3,815000,18/06/2016,3,2,,,Northern Metropolitan
Coburg North,3,637000,18/06/2016,3,1,97,1950,Northern Metropolitan
Coburg North,4,950000,18/06/2016,4,2,231,2013,Northern Metropolitan
Coburg North,3,780000,18/06/2016,3,1,,,Northern Metropolitan
Coburg North,3,860000,19/11/2016,3,2,134,1970,Northern Metropolitan
Coburg North,5,1172000,19/11/2016,5,3,37,2014,Northern Metropolitan
Coburg North,2,530000,22/08/2016,2,1,,,Northern Metropolitan
Coburg North,2,570000,23/04/2016,2,2,,,Northern Metropolitan
Coburg North,3,2000000,24/09/2016,4,1,,,Northern Metropolitan
Coburg North,3,650000,25/02/2017,3,1,95,1930,Northern Metropolitan
Coburg North,4,792000,26/07/2016,4,2,131,1950,Northern Metropolitan
Coburg North,3,720000,26/07/2016,3,1,105,1970,Northern Metropolitan
Coburg North,3,970000,27/11/2016,3,1,129,1960,Northern Metropolitan
Collingwood,2,750000,3/9/2016,2,1,,,Northern Metropolitan
Collingwood,2,890000,3/9/2016,2,1,70,1900,Northern Metropolitan
Collingwood,2,1260000,3/9/2016,2,1,129,1900,Northern Metropolitan
Collingwood,2,855000,3/9/2016,2,1,122,1830,Northern Metropolitan
Collingwood,3,1260000,3/12/2016,3,1,,1900,Northern Metropolitan
Collingwood,2,1320000,4/3/2017,2,2,,,Northern Metropolitan
Collingwood,2,1430000,4/3/2017,2,1,,,Northern Metropolitan
Collingwood,3,1125000,4/3/2017,3,2,151,2000,Northern Metropolitan
Collingwood,3,950000,4/3/2017,3,2,,,Northern Metropolitan
Collingwood,2,910000,4/3/2017,2,1,97,1880,Northern Metropolitan
Collingwood,1,452000,4/3/2017,1,1,53,2000,Northern Metropolitan
Collingwood,1,440000,4/3/2017,1,1,,2010,Northern Metropolitan
Collingwood,1,415000,7/11/2016,1,1,62,2005,Northern Metropolitan
Collingwood,2,1015000,8/10/2016,2,1,,,Northern Metropolitan
Collingwood,1,372000,8/10/2016,1,1,65,2005,Northern Metropolitan
Collingwood,3,1326000,8/10/2016,3,2,190,2013,Northern Metropolitan
Collingwood,3,910000,10/9/2016,3,1,,,Northern Metropolitan
Collingwood,2,1230000,11/2/2017,2,2,153,1920,Northern Metropolitan
Collingwood,2,855000,12/11/2016,2,1,80,1890,Northern Metropolitan
Collingwood,1,457000,13/08/2016,1,1,49,1970,Northern Metropolitan
Collingwood,3,897500,14/05/2016,3,2,82,1995,Northern Metropolitan
Collingwood,2,865000,14/05/2016,2,2,,,Northern Metropolitan
Collingwood,2,1265000,14/05/2016,3,1,112,1920,Northern Metropolitan
Collingwood,2,1260000,15/10/2016,2,1,,,Northern Metropolitan
Collingwood,3,1075000,16/04/2016,3,1,104,1880,Northern Metropolitan
Collingwood,3,1470000,16/04/2016,3,2,,,Northern Metropolitan
Collingwood,1,366000,16/07/2016,1,1,44,1970,Northern Metropolitan
Collingwood,1,461000,16/07/2016,1,1,,,Northern Metropolitan
Collingwood,2,981000,17/09/2016,2,1,107,1900,Northern Metropolitan
Collingwood,2,683000,17/09/2016,2,1,92,1900,Northern Metropolitan
Collingwood,3,1470000,18/03/2017,3,2,,,Northern Metropolitan
Collingwood,2,670000,18/03/2017,2,1,,,Northern Metropolitan
Collingwood,1,430000,18/03/2017,1,1,52,,Northern Metropolitan
Collingwood,2,515000,18/03/2017,2,1,,,Northern Metropolitan
Collingwood,2,1000000,19/11/2016,2,1,86,1880,Northern Metropolitan
Collingwood,3,887500,22/05/2016,3,2,82,2000,Northern Metropolitan
Collingwood,2,713500,22/08/2016,2,2,88,2010,Northern Metropolitan
Collingwood,3,1500000,22/08/2016,2,2,159,1920,Northern Metropolitan
Collingwood,2,672000,24/09/2016,2,1,60,2002,Northern Metropolitan
Collingwood,2,1215000,24/09/2016,3,2,,1895,Northern Metropolitan
Collingwood,2,800000,25/02/2017,2,1,91,1900,Northern Metropolitan
Collingwood,2,1645000,28/05/2016,4,1,2,1890,Northern Metropolitan
Collingwood,2,450000,28/05/2016,2,1,,1970,Northern Metropolitan
Collingwood,2,860000,30/07/2016,2,2,114,1920,Northern Metropolitan
Doncaster,4,1924500,3/9/2016,4,4,,,Eastern Metropolitan
Doncaster,2,492500,3/9/2016,2,1,,1975,Eastern Metropolitan
Doncaster,3,1403000,3/12/2016,3,1,123,1970,Eastern Metropolitan
Doncaster,4,1408000,3/12/2016,4,2,,,Eastern Metropolitan
Doncaster,4,855000,3/12/2016,4,2,,,Eastern Metropolitan
Doncaster,3,1450000,3/12/2016,3,1,115,1970,Eastern Metropolitan
Doncaster,5,1461800,3/12/2016,5,2,,,Eastern Metropolitan
Doncaster,4,1396000,3/12/2016,4,1,138,1975,Eastern Metropolitan
Doncaster,5,1535000,4/3/2017,5,3,,,Eastern Metropolitan
Doncaster,3,1125000,4/3/2017,3,2,173,1970,Eastern Metropolitan
Doncaster,3,700000,4/6/2016,3,2,119,2007,Eastern Metropolitan
Doncaster,4,1152000,6/8/2016,4,2,176,2007,Eastern Metropolitan
Doncaster,4,1868000,7/5/2016,3,2,218,1960,Eastern Metropolitan
Doncaster,3,920000,7/5/2016,4,3,,,Eastern Metropolitan
Doncaster,4,1050000,7/5/2016,4,2,194,1995,Eastern Metropolitan
Doncaster,3,910000,7/11/2016,3,2,135,2001,Eastern Metropolitan
Doncaster,3,1850000,7/11/2016,3,1,143,1960,Eastern Metropolitan
Doncaster,4,1225000,7/11/2016,4,3,185,1985,Eastern Metropolitan
Doncaster,4,1316000,7/11/2016,4,2,155,1965,Eastern Metropolitan
Doncaster,2,400000,8/10/2016,2,1,,,Eastern Metropolitan
Doncaster,5,1400000,8/10/2016,5,3,320,1985,Eastern Metropolitan
Doncaster,5,2168000,10/9/2016,5,5,395,2016,Eastern Metropolitan
Doncaster,4,1430000,10/12/2016,4,2,170,1970,Eastern Metropolitan
Doncaster,4,1250000,10/12/2016,4,2,,,Eastern Metropolitan
Doncaster,3,772000,10/12/2016,3,2,109,1986,Eastern Metropolitan
Doncaster,4,2000000,10/12/2016,4,3,,,Eastern Metropolitan
Doncaster,3,1300000,11/3/2017,3,1,,,Eastern Metropolitan
Doncaster,4,1468000,12/11/2016,4,2,170,1975,Eastern Metropolitan
Doncaster,3,1275000,12/11/2016,3,1,,1960,Eastern Metropolitan
Doncaster,4,1200000,12/11/2016,4,1,,,Eastern Metropolitan
Doncaster,3,655000,12/11/2016,3,2,,,Eastern Metropolitan
Doncaster,3,1310000,13/08/2016,3,1,,,Eastern Metropolitan
Doncaster,4,753000,13/08/2016,3,1,105,1970,Eastern Metropolitan
Doncaster,4,1250000,14/05/2016,4,2,,1963,Eastern Metropolitan
Doncaster,2,1140000,14/05/2016,3,1,,1960,Eastern Metropolitan
Doncaster,3,1180000,15/10/2016,3,1,,,Eastern Metropolitan
Doncaster,3,746000,15/10/2016,3,2,106,2013,Eastern Metropolitan
Doncaster,3,1485000,16/04/2016,3,2,140,1960,Eastern Metropolitan
Doncaster,3,1190000,16/04/2016,3,1,140,1960,Eastern Metropolitan
Doncaster,3,900000,16/07/2016,2,2,150,2013,Eastern Metropolitan
Doncaster,3,1250000,17/09/2016,3,2,150,1965,Eastern Metropolitan
Doncaster,3,1030000,17/09/2016,3,1,100,1960,Eastern Metropolitan
Doncaster,4,985000,18/03/2017,4,2,160,1998,Eastern Metropolitan
Doncaster,3,1300000,18/03/2017,3,1,119,1970,Eastern Metropolitan
Doncaster,2,522500,18/06/2016,2,1,,,Eastern Metropolitan
Doncaster,5,1510000,18/06/2016,4,2,,,Eastern Metropolitan
Doncaster,4,1460000,18/06/2016,4,2,,,Eastern Metropolitan
Doncaster,3,958000,18/06/2016,3,2,,,Eastern Metropolitan
Doncaster,4,1462500,18/06/2016,4,3,160,1969,Eastern Metropolitan
Doncaster,3,1430000,19/11/2016,3,1,,1970,Eastern Metropolitan
Doncaster,4,1350000,19/11/2016,4,3,,1960,Eastern Metropolitan
Doncaster,3,1250000,19/11/2016,3,2,195,1970,Eastern Metropolitan
Doncaster,4,1460800,19/11/2016,4,3,305,1970,Eastern Metropolitan
Doncaster,3,1152500,19/11/2016,3,2,129,1980,Eastern Metropolitan
Doncaster,5,1650000,22/05/2016,5,4,429,2007,Eastern Metropolitan
Doncaster,3,1474000,22/08/2016,4,2,,,Eastern Metropolitan
Doncaster,3,800000,22/08/2016,3,2,,1991,Eastern Metropolitan
Doncaster,3,1391000,23/04/2016,3,1,175,1965,Eastern Metropolitan
Doncaster,2,452000,23/04/2016,2,1,68,1975,Eastern Metropolitan
Doncaster,5,1322000,24/09/2016,5,1,,,Eastern Metropolitan
Doncaster,3,1102200,25/02/2017,3,2,175,2012,Eastern Metropolitan
Doncaster,4,1401000,25/02/2017,4,3,261,1970,Eastern Metropolitan
Doncaster,4,1782000,25/02/2017,4,3,306,2002,Eastern Metropolitan
Doncaster,3,735000,26/07/2016,3,1,,,Eastern Metropolitan
Doncaster,4,1520000,26/07/2016,4,3,275,2010,Eastern Metropolitan
Doncaster,3,990000,27/06/2016,2,1,,,Eastern Metropolitan
Doncaster,3,1020000,27/06/2016,3,1,,,Eastern Metropolitan
Doncaster,3,878000,27/06/2016,3,2,163,2001,Eastern Metropolitan
Doncaster,4,973500,27/11/2016,4,2,160,2009,Eastern Metropolitan
Doncaster,3,751800,27/11/2016,3,1,120,2001,Eastern Metropolitan
Doncaster,3,1100000,27/11/2016,3,2,169,1960,Eastern Metropolitan
Doncaster,3,1202000,27/11/2016,3,2,150,1965,Eastern Metropolitan
Doncaster,3,1362000,27/11/2016,3,1,132,1960,Eastern Metropolitan
Doncaster,4,1810000,28/05/2016,4,2,240,1970,Eastern Metropolitan
Doncaster,3,826000,28/08/2016,3,1,278,,Eastern Metropolitan
Doncaster,3,900000,28/08/2016,4,3,,,Eastern Metropolitan
Doncaster,3,888000,28/08/2016,3,2,,,Eastern Metropolitan
Eaglemont,5,1901000,10/9/2016,3,2,225,1925,Eastern Metropolitan
Eaglemont,4,1650000,10/9/2016,4,3,327,1940,Eastern Metropolitan
Eaglemont,3,1816000,12/11/2016,3,1,180,1955,Eastern Metropolitan
Eaglemont,2,525000,14/05/2016,2,1,70,1970,Eastern Metropolitan
Eaglemont,4,2050000,15/10/2016,4,3,290,1950,Eastern Metropolitan
Eaglemont,5,1930000,15/10/2016,5,2,236,1930,Eastern Metropolitan
Eaglemont,2,2850000,18/03/2017,2,1,,,Eastern Metropolitan
Eaglemont,4,2600000,18/06/2016,3,2,322,1937,Eastern Metropolitan
Eaglemont,2,600000,23/04/2016,2,1,95,1970,Eastern Metropolitan
Eaglemont,3,1601000,26/07/2016,3,1,136,1960,Eastern Metropolitan
Eaglemont,3,1100000,27/06/2016,3,2,300,1988,Eastern Metropolitan
Eaglemont,4,2550000,27/11/2016,4,2,478,1970,Eastern Metropolitan
Eaglemont,3,1190000,27/11/2016,3,2,148,1975,Eastern Metropolitan
Eaglemont,4,2012000,27/11/2016,4,3,245,1940,Eastern Metropolitan
Eaglemont,4,2309000,28/08/2016,4,3,291,1960,Eastern Metropolitan
Elsternwick,2,900000,3/9/2016,2,1,110,1940,Southern Metropolitan
Elsternwick,3,1625000,3/12/2016,3,2,181,1920,Southern Metropolitan
Elsternwick,2,906000,3/12/2016,2,1,,,Southern Metropolitan
Elsternwick,4,1100000,3/12/2016,4,2,159,1910,Southern Metropolitan
Elsternwick,2,930000,4/6/2016,2,1,,,Southern Metropolitan
Elsternwick,3,1755000,7/5/2016,3,2,173,1905,Southern Metropolitan
Elsternwick,4,1400000,7/5/2016,4,1,150,1910,Southern Metropolitan
Elsternwick,3,1240000,7/11/2016,3,2,123,1990,Southern Metropolitan
Elsternwick,2,700000,7/11/2016,2,1,92,,Southern Metropolitan
Elsternwick,2,591000,10/12/2016,2,1,62,2008,Southern Metropolitan
Elsternwick,2,537000,10/12/2016,2,1,79,1970,Southern Metropolitan
Elsternwick,3,1805000,10/12/2016,3,2,,,Southern Metropolitan
Elsternwick,3,800000,10/12/2016,3,2,112,2010,Southern Metropolitan
Elsternwick,3,965000,10/12/2016,3,1,119,1900,Southern Metropolitan
Elsternwick,2,1160000,12/11/2016,2,2,137,2011,Southern Metropolitan
Elsternwick,3,820000,12/11/2016,3,2,3,2002,Southern Metropolitan
Elsternwick,4,2600000,13/08/2016,4,2,184,1880,Southern Metropolitan
Elsternwick,2,900000,15/10/2016,2,1,,,Southern Metropolitan
Elsternwick,3,1390000,15/10/2016,3,1,102,,Southern Metropolitan
Elsternwick,3,1071000,16/04/2016,3,2,125,2000,Southern Metropolitan
Elsternwick,3,1800000,16/04/2016,3,2,181,1905,Southern Metropolitan
Elsternwick,3,2345000,16/04/2016,3,2,204,1908,Southern Metropolitan
Elsternwick,2,741000,16/04/2016,3,1,1561,1966,Southern Metropolitan
Elsternwick,2,626000,17/09/2016,2,1,100,1930,Southern Metropolitan
Elsternwick,3,2160000,18/03/2017,3,1,185,,Southern Metropolitan
Elsternwick,4,3000000,18/03/2017,4,2,204,,Southern Metropolitan
Elsternwick,3,1500000,18/03/2017,3,2,,,Southern Metropolitan
Elsternwick,4,1650000,18/06/2016,1,3,185,1913,Southern Metropolitan
Elsternwick,3,850000,19/11/2016,3,2,142,2000,Southern Metropolitan
Elsternwick,3,1750000,19/11/2016,3,2,207,1900,Southern Metropolitan
Elsternwick,3,1450000,19/11/2016,3,1,108,1915,Southern Metropolitan
Elsternwick,4,2806000,19/11/2016,4,3,255,1930,Southern Metropolitan
Elsternwick,3,782000,22/05/2016,3,1,95,1970,Southern Metropolitan
Elsternwick,4,1007000,22/05/2016,4,2,200,2000,Southern Metropolitan
Elsternwick,4,1450000,22/08/2016,4,2,192,1917,Southern Metropolitan
Elsternwick,2,500000,22/08/2016,1,1,59,2006,Southern Metropolitan
Elsternwick,4,2600000,22/08/2016,5,3,273,1885,Southern Metropolitan
Elsternwick,2,895000,23/04/2016,2,1,81,1915,Southern Metropolitan
Elsternwick,2,751000,24/09/2016,2,2,,,Southern Metropolitan
Elsternwick,4,2050000,27/06/2016,3,3,270,2016,Southern Metropolitan
Elsternwick,3,1605000,27/11/2016,3,1,152,1890,Southern Metropolitan
Elsternwick,2,410000,28/05/2016,0,0,,,Southern Metropolitan
Elsternwick,2,577000,28/05/2016,2,1,,,Southern Metropolitan
Elwood,1,520000,3/9/2016,1,1,51,1930,Southern Metropolitan
Elwood,3,1350000,3/9/2016,3,2,,,Southern Metropolitan
Elwood,1,392500,3/12/2016,1,1,,,Southern Metropolitan
Elwood,2,507000,3/12/2016,2,1,79,1970,Southern Metropolitan
Elwood,2,525000,3/12/2016,2,1,83,1960,Southern Metropolitan
Elwood,3,2116000,3/12/2016,3,1,,,Southern Metropolitan
Elwood,2,750000,3/12/2016,2,1,71,1930,Southern Metropolitan
Elwood,1,510000,3/12/2016,1,1,60,2001,Southern Metropolitan
Elwood,2,599999,3/12/2016,2,1,,,Southern Metropolitan
Elwood,1,300000,3/12/2016,1,1,33,1930,Southern Metropolitan
Elwood,3,1395000,4/2/2016,3,2,126,1996,Southern Metropolitan
Elwood,2,855000,4/3/2017,2,1,85,1960,Southern Metropolitan
Elwood,2,1050000,4/3/2017,2,2,,2009,Southern Metropolitan
Elwood,2,955000,4/3/2017,2,1,,,Southern Metropolitan
Elwood,2,680000,4/3/2017,2,1,,,Southern Metropolitan
