Company,address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Justin Blair & Company,4500 W 31st,Little Village,2012-02-27T00:00:00,60631,22577,"HVAC, carpentry, plumbing, and electrical"
Demeter + Dionysos dba FoodSmart,2901 W Armitage,Fullerton/Milwaukee,2012-03-09T00:00:00,224481.41,50572.5,"Interior renovations, plumbing, electrical, carpentry/drywall, hvac, tile, demo, walk in cooler, outdoor condensing unit, multi deck cooler"
Demeter + Dionysos dba FoodSmart,2901 W Armitage,Fullerton/Milwaukee,2012-03-09T00:00:00,224481.41,2736.25,"parking lot,"
Manuel Vavoulas,900-08 S California,Midwest,2012-03-09T00:00:00,102000,73380.07,"concrete work, masonry, bathroom renovation, and windows"
Nellcote LLC,833 W Randolph St,Near West,2012-03-09T00:00:00,464171,100000,"demolition, masonry, storefront, carpentry/steel/ornamental iron, doors, framing, millwork, flooring, light fixtures, framing, insulation, drywall, plumbing, fire protection, and electrical"
New Sahiba Boutique,2614 W Devon,Devon/Western,2012-03-09T00:00:00,29751,22313.25,"storefront, awnings, signage, windows, doors, lighting, fixtures, bathroom"
The Ecumenical Institute,4750 N Sheridan,Lawrence/Broadway,2012-03-09T00:00:00,213695,106847.5,"Windows, façade, doors"
J&S Laundromat,3915 W Fullerton Ave,Pulaski Industrial,2012-03-15T00:00:00,106950,80212.5,"carpentry, new laundry work table, drywall, drop ceiling, flooring, electrical work, HVAC roof top unit, plumbing to include new sink, toilets, and water heater, parking lot paving, and new store window and sign"
Pasteur of Chicago,5523-25 N Broadway,Bryn Mawr/Broadway,2012-03-16T00:00:00,213116,150000,Complete rehab
Clark Glass Company,6315 N Clark,Clark/Ridge,2012-03-30T00:00:00,18047,13535.25,"storefront, siding, roof, gutters,"
Drag City Real Estate LLC,2919-23 N Cicero,Belmont/Cicero,2012-03-30T00:00:00,297940,68290.75,Complete rehab
Laystrom Manufacturing Co ,3900 W Palmer,Pulaski Industrial,2012-03-30T00:00:00,156685,66497.2,"Office roof, skylight, ventilation, parapet walls"
Olivers House of Beauty,3850 W Chicago,Chicago/Central Park,2012-03-30T00:00:00,113050.54,69015.38,"roofing, tuckpointing, porch and stairs, plumbing, façade"
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,2012-03-30T00:00:00,13168.3,9876.23,Roofing
Richard Hae Dong Park,3142-48 W. Cermak Rd.,Ogden/Pulaski,2012-03-30T00:00:00,109150,81862.5,"interior build-out work, flooring, concrete/paving, tuckpointing, windows, bathrooms, lighting, and plumbing"
Sean F O'Neill,3452-56 N Pulaski,Avondale,2012-03-30T00:00:00,90545,67254,"façade, windows, tuckpointing, doors, masonry, parking lot paving, landscape"
Slover Linett Strategies,4147 N Ravenswood,Ravenswood,2012-03-30T00:00:00,40601.14,20300.57,windows
The Fish Guy Market,4423 N Elston,Lawrence/Pulaski,2012-03-30T00:00:00,64165.75,48124.29,"Expansion for food service, roof, retail facility, oyster bar"
Mercury Plastics,4535 W Fullerton,Northwest Industrial Corridor,2012-04-02T00:00:00,260050,122603.5,"electrical and plumbing systems for the addition, excavation for footings and foundations and hauling of spoils, and concrete work for addition"
Mustard Seed Learning Center,3656 W 111th St,111th/Kedzie,2012-04-02T00:00:00,48187.8,36140.85,"drywall, ceiling, plumbing, painting, framing, doors, floors, counters, and cabinets"
Ultimate Comprehensive Dentistry,4307 N Central,West Irving Park,2012-04-02T00:00:00,35000,26250,masonry repairs and tuckpointing to the exterior of the building
Yeimi's Unisex Beauty Salon,1823 W Irving Park,Western Ave South,2012-04-02T00:00:00,3848,2886,"storefront windows, window lettering"
Best Friends Veterinary Center,4054 W Peterson Ave,Peterson/Pulaski,2012-04-03T00:00:00,24560,18420,New roofing systen and associated electrical
Paramount Rooms,415 North Milwaukee,River West,2012-04-03T00:00:00,29894,22420.5,Replace front windows Masonary Sealing of foundation Exterior Sign Lighting Exterior walk-in-cooler Awnings.
South Chicago Parents and Friends of Retarded Children,10241 S. Commercial Ave.,Commercial Avenue,2012-04-03T00:00:00,133102,33275.5,New roofing system
Time Treasures Antiques Inc,6021-6025 W Irving Park Rd,West Irving Park,2012-04-03T00:00:00,60541,45355.95,"façade, painting, cleaning, flooring, and permits"
Olivers House of Beauty,3850 W Chicago,Chicago/Central Park,2012-04-04T00:00:00,113050.54,69015.38,"roofing, tuckpointing, porch and stairs, plumbing, façade"
Kenwood Oakland Community Organization,4242 S Cottage Grove,43rd/Cottage Grove,2012-04-05T00:00:00,131826.85,59937.75,"carpentry, HVAC, electrical, plumbing, flooring, masonry, concrete, painting, storefront glazing, doors and hardware"
La Villa Restaurant Inc,3632-38 N Pulaski,Avondale,2012-04-05T00:00:00,27548,13774,HVAC
Clark Glass Company,6315 N Clark,Clark/Ridge,2012-04-06T00:00:00,18047,13535.25,"storefront, siding, roof, gutters,"
Hebe Moda Salon,3111 N Cicero,Belmont/Cicero,2012-04-06T00:00:00,209374.64,100000,Build out of commercial space for salon/barber functionality
Ignotz Ristorante,2423 S Oakley,Pilsen,2012-04-06T00:00:00,36300,8150,"final finishes, installation of tile"
Staropolska,3028-30 N Milwaukee,Fullerton/Milwaukee,2012-04-06T00:00:00,205000,150000,"Roof, masonry, complete rehab of restaurant"
Slover Linett Strategies,4147 N Ravenswood,Ravenswood,2012-04-10T00:00:00,40601.14,20300.57,windows
Modern Process Equipment,3125 S Kolin,Little Village,2012-04-11T00:00:00,111325,55662.5,"hvac, ada bathrooms"
Hopleaf,5146 N Clark,Clark/Montrose,2012-04-13T00:00:00,313200,78300,Buildout-Expansion
Charter Steel Trading Co Inc,4401 W Roosevelt Rd,Roosevelt/Cicero,2012-04-18T00:00:00,251015.99,125508,"parking lot paving, drive-thru repairs, sewers, repair lot aprons"
New Age Chicago Furniture Co ,4236-40 S Cottage Grove,43rd/Cottage Grove,2012-04-18T00:00:00,184606.88,92303.44,"ceilings, roof, dry wall, floors"
Sabri Nihari Restaurant,2500-2 W Devon Ave,Devon/Western,2012-04-18T00:00:00,150000,74500,"demolition, masonry, store front, fire door, signage, canopy, granite, walls, column, base, ceilings, soffits, insulation, taping, sanding, primer, painting, design, millwork, and paneling"
Chromium Industries Inc ,4645 W Chicago,Northwest Industrial Corridor,2012-04-20T00:00:00,91520,45760,"new roofing, replacement of a cinder block wall, exhaust fans for roofing and oven, and insulation"
Andersonville Physical Therapy,5414 N Broadway,Bryn Mawr/Broadway,2012-04-23T00:00:00,104802.92,78602.19,"windows, lintels, façade renovation, tuckpointing, associated demolition, new door, electrical, roof patching, signage, and architectural services"
Sung Kyu Inc,3523 W Lawrence,Lawrence/Kedzie,2012-04-23T00:00:00,164050,82025,"Interior renovations, fixed asset equipment, facade, systems renovation"
AA Tempo Auto Inc,3431 N Pulaski,Avondale,2012-04-24T00:00:00,9425,7068.75,roof hatch
Hebe Moda Salon,3111 N Cicero,Belmont/Cicero,2012-04-24T00:00:00,66341.32,49755.99,Build out of commercial space for salon/barber functionality
Khalil and Farida Mashni,1100-1112 W Granville/6200 N Winthrop,Hollywood/Sheridan,2012-04-24T00:00:00,206962,120507.75,"Facade, canopies, lighitng, cement repairs, hvac, roofing, commercial tile, HVAC"
Lily's Talent Agency Inc,1017 W Washington Blvd,Near West,2012-04-24T00:00:00,143715,70235,"lighting, fixtures, windows, HVAC, security, painting"
Atolito Catering,4429 N. Broadway,Wilson Yard,2012-04-25T00:00:00,52850,39637.5,"basement remodel which included new walls, flooring, electrical, plumbing, furnace, and water heater"
Cell Air Communications,11101 S. Kedzie Ave.,111th/Kedzie,2012-04-25T00:00:00,34556.92,25917.69,"parapet, bathroom remodeling, drywall, ceiling, baseboards, tile, electrical, gas and steam pipes, roofing, painting, tuck-pointing, door, copings, window transom and frame, rear sashes and repairing rotted frames"
"CSC Glass, Inc. ",1928-30 S. Fairfield,Western/Ogden,2012-04-25T00:00:00,85000,63750,"masonry, electrical, concrete, and plumbing"
Ecolit,1939-59 W Fulton St,Kinzie Industrial Corridor Industrial Corridor,2012-04-25T00:00:00,45669.8,34252.35,"wrought iron fencing, electrical work for fence motor, and windows"
Rhodes Florist,7442 S Cottage Grove,87th/Cottage Grove,2012-04-25T00:00:00,81963,54534.98,"walk-in display cooler, floor, ceiling, lights, tuckpointing, gutters, walls, shelving"
Arbre Nail Spa,1244 N Wells,Near North,2012-04-26T00:00:00,289783.75,150000,"storefront, awning, signage, hvac, plumbing, interior renovations, courtyard improvement"
4353 Management LLC ,4353 N Western,Western Ave South,2012-04-30T00:00:00,14275,2422.67,"carpentry, HVAC"
HTP Associates,11012 S Western,Western/Rock Island,2012-04-30T00:00:00,187060,44841.5,"site demolition, paving, fencing, ADA ramp, roof, storefront, skylight, curbs, masonry, framing, carpentry, drywall, insulation, doors, flooring, paint, casework, HVAC, plumbing, piping, electrical"
Jane Adams Delta Development,4432 N Ravenswood,Ravenswood,2012-04-30T00:00:00,195107.07,130403.75,"new wall, finishing, tuckpointing, furnaces, basement build-out, heaters, boiler room build-out, bathrooms, water/gas lines, piping, boiler, ductwork,  electrical work, service, distribution, lighting work, asbestos removal, underground storage tank"
Reservoir Tavern & Grill,844 W Montrose,Wilson Yard,2012-04-30T00:00:00,300553.6,99000,Complete restaurant renovation
AA Tempo Auto Inc,3431 N Pulaski,Avondale,2012-05-01T00:00:00,31300,23475,installation of a triple basin underneath the concrete flooring
Bald Eagle Foods Inc,1640-48 W 115th,119th/I-57,2012-05-02T00:00:00,61000,41764.5,"interior remodeling (balance of work: flooring, countertops, lighting, painting, ceiling work)"
Gold Leaf Design Group Inc,1300 S Kostner,Roosevelt/Cicero,2012-05-02T00:00:00,12350,6175,"hvac, roof, storefront, fire spinkler, dock doors, lighting, fence, windows"
Jack and Ginger's Dogcare,2559 W Lawrence,Western Ave North,2012-05-02T00:00:00,44878.14,33658.61,"rough framing, HVAC, electrical, permit, architecture, and appraisal"
Jeremy Davenport,5048 S Indiana,47th/King,2012-05-02T00:00:00,15399,11549.25,"back office build out, granite and finish of plumbing, awning, and tuck pointing"
Prism Optics Inc,3594 N Milwaukee,Portage Park,2012-05-02T00:00:00,2125,1593.75,"Hardwood floors, storefront, tuckpointing, reinforce basement walls, rooftop turbines, solar panels"
Café Internet Latino Inc,4101 W Armitage,Armitage/Pulaski,2012-05-07T00:00:00,7312,5484,windows
Half Italian Grocer LLC,2643 N. Milwaukee Ave.,Fullerton Milwaukee,2012-05-07T00:00:00,56469.7,42352.28,"finish carpentry, drywall, counters, ventilation and exhaust work, storefront rehab, concrete work, walk-in cooler, lighting, grease trap, and sinks"
JMC Wealth Mgmt,1017 W Washington 3E,Near West,2012-05-07T00:00:00,29701.13,14850.57,"tuckpointing, electrical, carpentry, plumbing, ventilation, security, windows"
Little Insprirations Inc,5480 S Kenwood,53RD Street,2012-05-07T00:00:00,42721.67,32041.25,"balance of interior build-out work items: permanent shelving, doors, tempered glass, windows, painting, permanent benches, stairs, baseboard heaters, plumbing fixtures, electrical, build-out storage area, GC services, cabinets, counters, architectural expenses, bathroom fixtures, light fixtures, and window treatments"
Music House Inc,2925 W Devon,Devon/Western,2012-05-07T00:00:00,88214.5,66160.88,"façade, signage, interior renovations"
Harrity's Sports Bar & Grill,3147 N Central,Belmont/Central,2012-05-08T00:00:00,57488,43116,"painting, fire suppression items, drywall, carpentry, HVAC, and electrical"
Paraiso De Aves,1834-36 W 47th,47th/Ashland,2012-05-08T00:00:00,23045,17283.75,"roof, tuckpointing, interior,"
Wilson Property Management,6550 S Cottage Grove,Woodlawn,2012-05-08T00:00:00,35102,26326.5,"Expansion to lower level,hvac, bathroom, electrical, tuckpointing, roofing"
Bubbly Dynamics LLC,1400 W 46th,47th/Ashland,2012-05-15T00:00:00,20775.7,14875,installation of new windows
Farlow Development,4222-24 N Milwaukee,Portage Park,2012-05-15T00:00:00,168076.48,114271.58,"masonry, windows, bulkhead repair, roof, siding, electrical,"
R & R Glass & Windows,3541-43 N Kenton,Portage Park,2012-05-16T00:00:00,43097,21548.5,"new garage door, entry, roof, skylights, tuckpointing, doors, lighting"
Daniel M Lowis,218-220 E 51st,47th/King,2012-05-16T00:00:00,232077.7,150000,complete rehab interior and exterior
DANK Haus,4740 N Western,Western Ave North,2012-06-08T00:00:00,23177.15,17382.86,new fire proof steel doors
Adelaida's Beauty Salon,10232 S Ewing Ave,Ewing Avenue,2012-06-08T00:00:00,2400,1800,new HVAC system
Dreaming Tree Films Inc,6123 N Clark St,Clark/Ridge,2012-06-08T00:00:00,124630.12,62315.01,"balance of structural reinforcement work, plumbing, electrical, new storefront installation, windows, gutters and associated soffit repairs, HVAC, and hardwood flooring"
Mustard Seed Learning Center,3656 W 111th St,111th/Kedzie,2012-06-08T00:00:00,40080,30060,"building systems work including electrical (including fire alarm installation), plumbing, HVAC, carpentry, painting, and windows"
"Pressure, Inc.",6318-20 N Clark St,Clark/Ridge,2012-06-08T00:00:00,30383.57,22787.68,"fabrication and installation of signage with LED letters, and interior rehab including bar build-out, lighting, sink installation, wallpaper, and painting"
Ted The Sup Sim,5731 N Lincoln,Lincoln,2012-06-08T00:00:00,205700,150000,"complete rehab, parking lot"
Yacoub Khalifeh,3925 W. Chicago Ave.,Chicago/Central Park,2012-06-08T00:00:00,144398,106111.5,"electrical work, plumbing, windows, entry doors, masonry repairs to exterior, fire separation, paint, and interior commercial space build-out (insulation, drywall, joist replacement, new flooring, and new counters).  "
"Chicago True Value Hardware, Inc. ",3111 W. 111th St. ,111th/Kedzie,2012-06-11T00:00:00,31347,23510.25,retrofit lighting throughout the entire store and exit signs
La Fiesta Mexican Restaurant,3333 W 111th St,111th/Kedzie,2012-06-11T00:00:00,68151,32594,"HVAC, bathroom renovation, and flooring"
Pancakes Crepes Amour,9031 S Stony Island Ave,Stony Island/Burnside,2012-06-11T00:00:00,44893.22,22446.61,"demolition, framing, drywall, and electrical"
Wanland and Associates,4140 W. Peterson Ave,Peterson/Pulaski,2012-06-11T00:00:00,8500,6375,sewer line and associated plumbing repairs
Atolito Catering,4429 N. Broadway,Wilson Yard,2012-06-12T00:00:00,104000,78000,"replacing the hood and exhaust fan in the kitchen, replacing ceiling and floor tiles throughout the building, replacing light fixtures, replacing the plumbing, sink, and electrical associated with the dishwashing area, replacing counter top, dry wall and windows in office, and replacement of toilet and sink in bathroom"
Chicago-Springfield Accounting Service LLC,3848 W Chicago,Chicago/Central Park,2012-06-12T00:00:00,16500,12375,"bathroom, roof, and back porch/staircase renovations"
Pure Asphalt Co,3455 W 31st Pl,Little Village,2012-06-12T00:00:00,138142.91,69071.46,"removal, purchase, and installation of a new boiler"
The Fish Guy Market,4423 N Elston,Lawrence Pulaski,2012-06-13T00:00:00,48214.24,36160.68,"entry way wind partition, lighting, electrical for security system, exhaust hood, door, canopy, permanent display case, painting, and plumbing, GC services"
BJ Furniture + Antiques,6901 N Western,Touhy/Western,2012-06-14T00:00:00,4730,3547.5,balance of façade improvement expenses (powerwashing of masonry)
Latin Rhythms Academy of Dance & Performance,1245 W Fulton Market,Kinzie Industrial Corridor Industrial Corridor,2012-06-18T00:00:00,255957.35,150000,"complete rehab, sidewalk, landscaping, parking lot, tuckpointing, sandblast"
Nationwide Furniture Distributors Inc,1000 S Kostner,Roosevelt/Cicero,2012-06-18T00:00:00,77829,38914.5,"roofing, masonry repairs (chimney demo, spot repairs to walls and copings in association with the chimney demolition)"
Canine Social Club,5508 N Western,Devon/Western,2012-06-27T00:00:00,12942.7,9707.03,"sign, landscape, lighting, flooring"
Lake Industrial Park LLC / Austin-Westran LLC,1932-1958 W Lake,Kinzie Industrial Corridor Industrial Corridor,2012-06-27T00:00:00,398575.38,150000,"roofing, concrete, hvac, electric, paint, water, retencion, landscaping"
DANK Haus,4740 N Western,Western Ave North,2012-06-29T00:00:00,373744,120182.14,"remodeling of the first floor façade including temporary access, concrete work, structural steel, remove existing steel and concrete beam, carpentry, storefront windows and doors, electrical work, masonry, rework existing south entrance, painting of lintels, exterior soffits, interior walls, baseboards and trim"
Paws & Claws Daycare Inc,5015 N Western Ave,Western Ave North,2012-07-03T00:00:00,6745,5058.75,"ceiling and partition wall framing, installation of insulation materials and drywall, installation of new doors and windows for cat boarding rooms, landscaping, drain installation, and vinyl flooring installation, sanding, painting and waxing"
Lake Industrial Park LLC / Austin-Westran LLC,1932-1958 W Lake,Kinzie Industrial Corridor Industrial Corridor,2012-07-06T00:00:00,398575.38,150000,"landscaping, concrete work, parking lot asphalt paving, joint sealing, hollow metal frames, doors and hardware, overhead doors, storefront, plumbing, HVAC, and electrical work"
Atolito Catering,4429 N. Broadway,Wilson Yard,2012-07-10T00:00:00,104000,78000,"commercial kitchen, dishwashing station, entryway, office, and bathroom remodeling, replacing the hood and exhaust fan in the kitchen, replacing ceiling and floor tiles throughout the building, replacing light fixtures, replacing the plumbing, sink, and electrical associated with the dishwashing area, replacing counter top, dry wall and windows in office, and replacement of toilet and sink in bathroom"
"Hard Rock Construction, Inc.",315 W. 119th St.,119th/Halsted,2012-07-11T00:00:00,20960,15720,"roofing, tuckpointing, and associated masonry repairs"
"Gaslight Coffee Roasters, LLC",2385 N Milwaukee Ave,Fullerton Milwaukee,2012-07-17T00:00:00,36062,25591.5,wall framing and plumbing
M & M Box Partition Co,4141 W Grand,Pulaski Industrial,2012-07-17T00:00:00,52370.71,26185.36,"masonry, tuck-pointing of the chimney and west elevation, paving and seal coating of the parking lot, and the replacement of four loading dock doors and three door seals"
Paws & Claws Daycare Inc,5015 N Western Ave,Western Ave North,2012-07-17T00:00:00,4195,3146.25,electrical work
Skol Manufacturing,4444 N. Ravenswood ,Ravenswood,2012-07-17T00:00:00,50245,19250,roofing
Thermal Electric Inc,3838 W Chicago,Chicago/Central Park,2012-07-17T00:00:00,130559.07,97919.3,"the purchase of the adjacent lot located at 3834 W. Chicago Ave, parking lot paving, plumbing including a deep catch basin for parking lot, electrical work for light fixtures and new sign, wrought iron fence, steel canopy, landscaping, signage, and rolling shutters"
Ultimate Comprehensive Dentistry,4307 N Central,West Irving Park,2012-07-17T00:00:00,45338,34003.5,"windows, doors, electrical work, concrete work, countertops, and masonry repairs"
"Revive Spa, LLC",4862-4 N. Clark St.,Clark/Montrose,2012-07-19T00:00:00,100000,75000,"demolition, studs and drywall, carpentry, acoustical, mechanical, electrical, and plumbing work"
Addison Pipe & Tube Co ,355 N Lavergne,Northwest Industrial Corridor,2012-07-20T00:00:00,76354,37771.25,"excavation and grading, fencing, electrical work including installation of two 25’ high poles with four 400 Watt MH fixtures, installation of photocell, PVC conduits, cameras and wiring for surveillance system, and associated architectural services"
Hispanic Regional Clinics,5544 W Belmont,Belmont/Central,2012-07-20T00:00:00,51991.88,25995.94,"remodeling of 2nd floor offices including, framing, rough plumbing, rough electrical, insulation (drywall) work, and HVAC"
A Gomez Tires & Wheels,5245-51 W Grand,Galewood/Armitage Industrial,2012-07-27T00:00:00,13000,9520.5,awnings
A Natural Flooring Company,3904 W Fulerton,Pulaski Industrial,2012-08-07T00:00:00,23200,14500,"façade rehabilitation, new windows, and new doors"
Ground Control Vegetarian Cafe,3313-5 W. Armitage Ave.,Fullerton Milwaukee,2012-08-07T00:00:00,25709.56,19282.17,"demolition, underground plumbing work, purchase and installation of kitchen exhaust hood, and architectural services"
Jack and Ginger's Dogcare,2559 W Lawrence,Western Ave North,2012-08-07T00:00:00,50000,37500,"additional rough framing and HVAC work, plumbing, and installation of new doors and windows"
Fortineaux Associates,11622 S. Western Ave.,Western Rock Island,2014-06-12T00:00:00,16400,12300,Roofing
Jeun Sik Son,6212 N Lincoln,Lincoln,2012-08-07T00:00:00,102000,72862.5,"new flooring, new windows, new lighting, bathroom remodeling, and new awnings"
Key Food Services,4130 S. Morgan,Stockyard Annex,2012-08-07T00:00:00,547000,150000,"build-out of an industrial freezer and cooler (flooring, structural steel, insulated metal panels, doors, concrete curbs, bollards, plumbing, refrigeration, electrical, fire protection, and stairs)"
Modern Process Equipment,3125 S Kolin,Little Village,2012-08-07T00:00:00,100728.48,50364.24,"new HVAC system, and general bathroom remodeling (including renovations to accommodate new locker and bench units), parking lot resurfacing, repair, and striping"
"Rfmetalworks, Inc.",4426 N. Ravenswood,Ravenswood,2012-08-07T00:00:00,17150,11921.25,"demolition, drywall, electrical, HVAC, lighting, flooring, installation of new doors and exits, paint and finishing"
Green Wheels - Division of Windfree,1540-42 N. Western Ave.,Humboldt Park,2012-08-10T00:00:00,225000,150000,the purchase of the adjacent property at 1538 N. Western Ave. to expand the business
Rockwell LLC DBA Mysore Woodlands,2548 W Devon,Devon/Western,2012-08-10T00:00:00,218600,150000,"renovation for a restaurant that shall include complete building systems (HVAC, electrical, and plumbing), framing and finish carpentry, hood with ansel system, lighting, granite in bathroom and bar area, drywall and painting, flooring, new storefront, awning, reposition signage and change the interior lighting of signage, and outdoor walk-in cooler"
Byung Chan Min,4300 W Lawrence,Lawrence Pulaski,2012-08-15T00:00:00,300830.27,150000,"building systems work (HVAC, plumbing, and electrical), new framing, structural beams and columns, flooring, drywall, drop ceilings, new bathrooms, a new storefront with associated masonry, tuckpointing and exterior lighting work, roofing, fencing, a new trash enclosure, and landscaping"
City Newstand Inc,4018 N Cicero,Irving/Cicero,2012-08-15T00:00:00,343472.18,150000,"complete gut rehab and remodel of the business and installation of new café space. Work consisted of: demolition and excavation, building systems (HVAC, Electrical, Plumbing & Water), installation of solar panel system, new ceilings, new floors, insulation and drywall, rough carpentry and framing, cabinetry and countertops, installation of new doors, new windows, new storefront, and architectural services"
Hopleaf,5146 N Clark,Clark/Montrose,2012-08-15T00:00:00,1022924.16,71700,"installation of new building systems including plumbing, HVAC, and electrical, roofing repair, rough carpentry and framing, installation of new doors, masonry repair, storefront and glass installation, demo & concrete work, and painting"
Kabob 2 Cuisine,6320 N Lincoln,Lincoln,2012-08-15T00:00:00,10970,8227.5,"interior remodeling: new exit signs, wall repairs, painting, ceiling panels, and new entry doors"
Nellcote LLC,833 W Randolph St,Near West,2012-08-15T00:00:00,958219,50000,"demolition, masonry, storefront, carpentry/steel/ornamental iron, doors, framing, millwork, flooring, light fixtures, framing, insulation, drywall, plumbing, fire protection, and electrical"
Century Plating Co Inc,2245 W Wellington,Addison South,2012-08-16T00:00:00,70576.37,35288.19,"parking lot development: demolition, excavation, asphalt paving, stripping, car stops, handicap signs, concrete work including but not limited to curbs, retaining wall, and concrete footings, fencing, cut and cap gas service, and landscaping"
Concept Laboratories,1400 W Wabansia,North Branch (South),2012-08-16T00:00:00,21000,10500,"removal of furnace and pipes that are not in service and installation of concrete, installation of new water line"
Estee Bedding Co,945 E 93rd St,Stony Island/Burnside,2012-08-16T00:00:00,36575,18287.5,high efficiency fluorescent lighting and associated electrical work
Ground Control Vegetarian Cafe,3313-5 W. Armitage Ave.,Fullerton Milwaukee,2012-08-16T00:00:00,24897.13,18672.85,"electrical, plumbing, carpentry, HVAC, and architectural services"
Harrity's Sports Bar & Grill,3147 N Central,Belmont/Central,2012-08-16T00:00:00,86700,50124,"interior renovations including finish plumbing, electrical, and painting"
Masala's Indian Thai Cuisine,1002 W Argyle,Hollywood/Sheridan,2012-08-16T00:00:00,42550,28998.75,"demolition, doors, painting, ceilings, drywall, floors, HVAC, plumbing, kitchen exhaust, canopy signage"
New Sahiba Boutique,2614 W Devon,Devon/Western,2012-08-16T00:00:00,20000,15000,interior remodeling/build-out of fitting rooms and bathroom renovations
Unique Car Wash Freee Car Care / South Side Taco,7820 S Ashland,79th Street,2012-08-16T00:00:00,204000,150000,"new building systems (plumbing, electrical, and HVAC), framing, carpentry, drywall, insulation, acoustic ceiling, painting, floor leveling, stone front, signage, canopy, roofing, hood system, sinks, security glass, tile flooring, repair blacktop and concrete,  and walk-in coolers"
Wanland and Associates,4140 W. Peterson Ave,Peterson/Pulaski,2012-08-20T00:00:00,38335.38,28751.54,"new solar photovoltaic electrical system, balance of sewer line and associated plumbing repairs, and asphalt paving associated with the sewer line repairs"
"Resource Point of Sale, LLC ",1765 N. Elston ,North Branch (South),2012-08-21T00:00:00,316852,150000,"new building systems (HVAC, electrical, and plumbing) concrete work, rough and finish carpentry, structural steel, glass partitions and doors, insulation, lighting, drywall, metal stairs, cabinetry and millwork, countertops, wood flooring, tile, painting, and concrete sealing"
Jeffery Manor Auto Wash Inc,2544 E 95th St,Commercial Avenue,2012-08-31T00:00:00,42425,31818.75,"hot water heater, roofing, furnace, ductwork, plumbing supplies"
West Humboldt Park Family & Community Dev. Council 2,3620 W. Chicago Ave. ,Chicago/Central Park,2012-08-31T00:00:00,12183,9137.25,"installation of a new drain pipe, new steel door to the basement, removal and treatment of mold and mildew in basement, and paint the entire office, new sump-pump, repair electrical boxes, light fixtures, front door, pressure wash, tuck-point, and sealing of basement walls, removal of trees/branches from exterior walls, concrete work, and seal an opening in front door"
"Squirt, Inc.",5843 W. Madison St.,Madison Austin,2012-09-04T00:00:00,84650,42660,"partial rehabilitation of three of the commercial units and building systems work at 5843 W. Madison: demolition, new hot water system, electrical, roofing, masonry, plumbing, painting, carpet, ceiling fixtures, drywall, tile flooring, and bathrooms"
"ODB Enterprises, Inc.",3123-27 W. 111th St. ,111th/Kedzie,2012-09-05T00:00:00,12325,9243.75,"painting, power washing, windows, doors, stucco, masonry repairs"
Vision Boutique,948 W Madison,Near West,2012-09-06T00:00:00,8845,6633.75,installation of new storefront doors and windows
"ABI Financial Services, Inc.",4806 N. Milwaukee Ave.,Jefferson Park,2012-09-06T00:00:00,85701,64275.75,"interior improvements to existing office space including: excavation and concrete work, installation of vapor barrier around exterior basement walls, plumbing, carpentry and framing, demolition, electrical, HVAC, drywall, flooring and tiles, countertop installation, trimwork and painting"
Hidden Value Portfolio II Inc,4041 N Milwaukee,Irving/Cicero,2012-09-06T00:00:00,194982.46,146236.85,"building systems to include HVAC, plumbing, electrical, elevator, interior partitions, painting, doors, hardware, environmental remediation, and removal of chimney, exterior windows and replacement of storefront"
J&S Laundromat,3915 W Fullerton Ave,Pulaski Industrial,2012-09-06T00:00:00,30000,18479.5,roofing
Reservoir Tavern & Grill,844 W Montrose,Wilson Yard,2012-09-07T00:00:00,300553.6,51000,"complete renovation including carpentry, painting, plumbing and fixtures, HVAC, electrical, drywall, hood, bar shelves, signage, granite countertops, flooring, windows and glass, permanent booths, millwork, and concrete staining"
Wilson Property Management,6550 S Cottage Grove,Woodlawn,2012-09-07T00:00:00,120994.05,90745.54,"demolition, steel columns, concrete flooring, masonry, framed walls, roofing, ceiling, finishes, doors, carpentry, electrical, HVAC, and plumbing"
Mehrab #1 Corp,2433 W Devon,Devon/Western,2012-09-13T00:00:00,35510,19565,"complete remodel and renovation of the store including: a new store front, framing, ceilings, flooring, drywall and insulation, electrical, HVAC, and creation of new door opening at the rear of building"
Mehrab #1 Corp,2433 W Devon,Devon/Western,2012-09-13T00:00:00,88895.48,35510,"complete remodel and renovation of the store including: a new store front, framing, ceilings, flooring, drywall and insulation, electrical, HVAC, and creation of new door opening at the rear of building"
The House of Glunz,1202-06 N Wells,Near North,2012-09-13T00:00:00,116745.55,58372.78,buildout
Bright Star Management,1143 W Rundell,Central West,2012-09-14T00:00:00,191994.15,134702.2,"an elevator shaft preparation to change the existing 4 stop freight elevator shaft into a passenger elevator with new machine room, this shall include brick up all windows on north wall that open into shaft floors 2 and 3, brick up exterior opening on north wall at 1st floor, add new sump pump in pit, tie to existing floor drains, re-drywall existing walls and frame for new elevator doors, installation of the new elevator, and electrical system"
Chi Chi Nails,822 E. 79th St.,87th/Cottage Grove,2012-09-14T00:00:00,16812,12609,"signage, storefront rehab, doors, and windows"
Concept Laboratories,1400 W Wabansia,North Branch (South),2012-09-14T00:00:00,40500,20250,electrical service upgrade
Paraiso De Aves,1834-36 W 47th,47th/Ashland,2012-09-14T00:00:00,23600,17700,"concrete, fence, doors, windows, tuck-pointing, and gutters"
